Wall time,Step,Value
1653492126.2936277,19000,7454.330078125
1653492618.6981773,19100,7506.703125
1653493086.7733202,19200,7452.71337890625
1653493566.997241,19300,7354.02587890625
1653494057.418176,19400,7646.7021484375
1653494401.9052832,19500,7176.63525390625
1653494738.836696,19600,7738.0703125
1653495176.6586328,19700,7135.693359375
1653495660.8033218,19800,7070.392578125
1653496156.4279644,19900,7816.302734375
1653496632.323699,20000,7748.57568359375
1653497116.0944383,20100,7426.46142578125
1653497611.5658681,20200,7615.1025390625
1653498095.8989673,20300,7075.0234375
1653498577.4265463,20400,7494.6796875
1653499045.417945,20500,7444.43310546875
1653499526.3052166,20600,6558.16552734375
1653500005.2711449,20700,6904.41748046875
1653500477.18776,20800,6952.4404296875
1653500956.6380687,20900,7254.80615234375
1653501438.3663802,21000,7656.9931640625
1653501914.7703755,21100,7010.646484375
1653502404.8851411,21200,7007.099609375
1653502880.5716193,21300,7503.728515625
1653503375.0371392,21400,7415.515625
1653503866.6412325,21500,7458.36376953125
1653504353.5998154,21600,6809.6806640625
1653504844.829622,21700,7234.41455078125
1653505321.7676172,21800,7659.71826171875
1653505784.4567728,21900,7398.9560546875
1653506126.8973453,22000,7180.88916015625
1653506457.1297421,22100,7194.44482421875
1653506907.356086,22200,7011.24853515625
1653507401.631488,22300,6775.611328125
1653507876.3094647,22400,7258.61083984375
1653508355.1999388,22500,7082.11474609375
1653508831.0128295,22600,7025.1865234375
1653509321.057632,22700,7410.7392578125
1653509824.1395524,22800,7531.2705078125
1653510306.6539967,22900,7463.8134765625
1653510797.2779377,23000,7187.8681640625
1653511272.535775,23100,7508.990234375
1653511612.5310092,23200,7658.2177734375
1653511962.1906397,23300,7475.4951171875
1653512290.265032,23400,7372.8291015625
1653512632.970432,23500,7385.1982421875
1653512963.7199924,23600,7570.5966796875
1653513292.193692,23700,6767.904296875
1653513726.7557116,23800,7257.71826171875
1653514199.9974923,23900,7339.072265625
1653514694.7690856,24000,7093.96875
1653515187.1201615,24100,7179.63623046875
1653515670.9292557,24200,7135.515625
1653516159.6870575,24300,7478.400390625
1653516647.5570638,24400,7351.4638671875
1653517128.684914,24500,7438.41943359375
1653517618.475073,24600,7126.548828125
1653518104.9623394,24700,7041.4892578125
1653518593.2963538,24800,7242.359375
1653519079.0570464,24900,7244.0029296875
1653519554.713879,25000,7242.9775390625
1653520029.169747,25100,6876.048828125
1653520504.1578183,25200,6812.33935546875
1653520973.5255964,25300,7391.51708984375
1653521441.7226062,25400,7049.70166015625
1653521925.937995,25500,7212.4462890625
1653522407.1980414,25600,7590.146484375
1653522878.4607537,25700,7166.9521484375
1653523361.850757,25800,7304.16015625
1653523837.889757,25900,7045.8720703125
1653524337.518812,26000,7239.94775390625
1653524812.0942905,26100,7363.6142578125
1653525274.3703463,26200,7047.5888671875
1653525735.296534,26300,7686.13232421875
1653526211.0619462,26400,8143.85400390625
1653526696.1260054,26500,7467.2626953125
1653527185.8377984,26600,7049.8984375
1653527671.4617732,26700,6933.6708984375
1653528146.542964,26800,7101.0791015625
1653528630.1144824,26900,6758.7421875
1653529109.0492656,27000,7313.49169921875
1653529567.6838727,27100,6690.92041015625
1653530027.5636883,27200,6492.7060546875
1653530519.7424052,27300,7248.029296875
1653530989.0864348,27400,6957.375
1653531472.9688222,27500,7104.11767578125
1653531944.433321,27600,7547.12744140625
1653532428.1197321,27700,7532.65771484375
1653532908.8707442,27800,7103.9853515625
1653533390.3298805,27900,7280.1376953125
1653533862.34085,28000,6886.06982421875
1653534328.8510745,28100,7071.9208984375
1653534804.828469,28200,7141.6162109375
1653535264.1573985,28300,7397.6376953125
1653535723.863944,28400,7150.115234375
1653536210.5547397,28500,6982.8193359375
1653536689.9075444,28600,6832.5869140625
1653537162.2479877,28700,6987.9716796875
1653537641.2582211,28800,7190.2099609375
1653538121.61111,28900,7263.4853515625
1653538599.8818238,29000,7295.3291015625
1653539087.360395,29100,7124.21630859375
1653539551.469594,29200,7218.470703125
1653540032.94049,29300,6856.986328125
1653540507.783481,29400,6849.5751953125
1653540981.8671212,29500,6726.94140625
1653541445.3666825,29600,6763.7431640625
1653541915.511577,29700,7282.0322265625
1653542393.8918834,29800,7196.048828125
1653542878.3962536,29900,6690.35107421875
1653543359.5046394,30000,7078.4375
